all0,all1,all2,all3,all4,all5,all6,all7,all8,all9,all10,all11,all12,all13,all14,call0,call1,call2,call3,call4,call5,call6,call7,call8,call9,call10,call11,call12,call13,call14,mit0,mit1,mit2,mit3,mit4,mit5,mit6,mit7,mit8,mit9,mit10,mit11,mit12,mit13,mit14,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14
97,3271,1946,2710,45203,51149,22493,11599,40048,31744,75955,42805,53408,64463,28573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,800,254,71,18152,11811,9529,1223,1854,2862,3407,1076,537,275,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2151,966,630,47429,44213,25079,6533,14374,15185,29081,12555,9207,8421,1751
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,796,279,99,18769,12323,8477,1317,1772,2700,4359,1399,633,505,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2192,1079,632,48282,48862,24855,8097,15626,15383,28578,14381,9222,8450,1581
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,830,269,82,18725,12666,9836,1314,1950,2973,3788,1205,613,373,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2153,1031,622,48475,46745,24400,7402,14926,15209,28466,13707,8829,8116,1631
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,750,217,59,17556,10352,8840,984,1634,2794,2804,809,413,204,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2252,1206,747,46174,52418,24828,9393,16861,14898,32656,17332,10414,10723,2263
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,701,175,35,16395,8790,8837,767,1437,2704,1776,471,290,82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2136,978,618,48368,44639,24505,6739,14230,14998,28439,12740,9039,8093,1688
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,825,315,91,19156,13795,8866,1717,2016,2801,4009,1460,632,434,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2125,847,531,47978,41003,26537,5452,13518,15698,25729,10212,8366,6417,1345
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2016,734,491,48653,36313,24926,4235,11482,15209,24329,8429,7589,5669,1267
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2021,741,435,48879,36929,25623,4547,12091,15760,21781,8190,7058,4806,881
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
