X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
call1,call0,0.97899,-0.016110778,0.022029996,0.97899,2.0,0.9975474
call2,call0,0.97899,0.015182316,0.022090018,0.97899,2.0,0.9817371
call2,call1,0.97899,0.043124914,0.024549961,0.97899,2.0,0.9674012
call3,call0,0.97899,0.02797997,0.021300018,0.97899,2.0,0.97519743
call3,call1,0.97899,0.05707431,0.022570014,0.97899,2.0,0.9601644
call3,call2,0.97899,-0.008422136,0.016719997,0.97899,2.0,0.99368614
call4,call0,0.97899,-0.0032784939,0.023490012,0.97899,2.0,0.9910946
call4,call1,0.97899,-0.015141964,0.013799965,0.97899,2.0,0.99706167
call4,call2,0.97899,0.07984567,0.01335001,0.97899,2.0,0.94823223
call4,call3,0.97899,0.09782368,0.020820022,0.97899,2.0,0.9387046
call5,call0,0.97899,-0.0027852654,0.023010015,0.97899,2.0,0.99084574
call5,call1,0.97899,0.017184317,0.019209981,0.97899,2.0,0.98071694
call5,call2,0.97899,-0.016951203,0.006709993,0.97899,2.0,0.99796855
call5,call3,0.97899,-0.003035009,0.016680002,0.97899,2.0,0.99097174
call5,call4,0.97899,0.04797578,0.009549975,0.97899,2.0,0.9648908
call6,call0,0.97899,-3.3915043E-4,0.017279983,0.97899,2.0,0.9896106
call6,call1,0.97899,-0.015407145,0.0155899525,0.97899,2.0,0.99719465
call6,call2,0.97899,0.08092427,0.01763004,0.97899,2.0,0.9476633
call6,call3,0.97899,0.09557146,0.021899998,0.97899,2.0,0.9399035
call6,call4,0.97899,-0.016164422,0.018109977,0.97899,2.0,0.99757427
call6,call5,0.97899,0.047383547,0.00819999,0.97899,2.0,0.9651976
call7,call0,0.97899,0.10813236,0.024839997,0.97899,2.0,0.93319756
call7,call1,0.97899,0.15282142,0.023580015,0.97899,2.0,0.90893817
call7,call2,0.97899,0.011141658,0.004150033,0.97899,2.0,0.98379284
call7,call3,0.97899,0.028868318,0.016030014,0.97899,2.0,0.9747419
call7,call4,0.97899,0.20542067,0.004790008,0.97899,2.0,0.8795279
call7,call5,0.97899,0.0353688,0.01432997,0.97899,2.0,0.9714017
call7,call6,0.97899,0.20513576,0.010949969,0.97899,2.0,0.8796899
call8,call0,0.97899,5.835295E-4,0.028939962,0.97899,2.0,0.9891443
call8,call1,0.97899,0.018800259,0.009959996,0.97899,2.0,0.97989273
call8,call2,0.97899,-0.014598846,0.029680014,0.97899,2.0,0.9967893
call8,call3,0.97899,-0.001834631,0.017680049,0.97899,2.0,0.9903659
call8,call4,0.97899,0.05194509,0.017369986,0.97899,2.0,0.96283174
call8,call5,0.97899,-0.019280076,0.029020011,0.97899,2.0,0.99913466
call8,call6,0.97899,0.046863854,0.008430004,0.97899,2.0,0.9654668
call8,call7,0.97899,0.03612852,0.018840015,0.97899,2.0,0.97101057
call9,call0,0.97899,-8.869171E-5,0.013390005,0.97899,2.0,0.9894841
call9,call1,0.97899,-0.014962137,0.016249955,0.97899,2.0,0.9969715
call9,call2,0.97899,0.08364862,0.017780006,0.97899,2.0,0.9462248
