mit, all, rl, call4
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 31251, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 4421, 572
0, 28903, 8831, 0
0, 27424, 2265, 251
1730, 29712, 0, 0
1811, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
2833, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
1135, 0, 0, 0
1049, 0, 0, 0
0, 0, 0, 0
969, 0, 0, 0
2423, 35078, 0, 284
0, 0, 0, 195
0, 0, 0, 338
0, 0, 0, 224
2140, 0, 0, 297
2189, 0, 0, 0
2578, 0, 0, 0
0, 45815, 0, 0
0, 0, 0, 0
0, 0, 3630, 692
3474, 0, 0, 428
3233, 0, 0, 178
2678, 0, 2973, 529
0, 0, 0, 0
0, 0, 1602, 355
0, 0, 1973, 0
0, 50055, 0, 740
3861, 0, 565, 1081
1568, 0, 0, 0
703, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 228
0, 0, 0, 0
2012, 0, 0, 0
0, 0, 0, 0
0, 40392, 0, 0
0, 0, 0, 217
0, 43653, 0, 181
1090, 30236, 4412, 944
0, 0, 0, 412
2819, 0, 0, 0
2538, 0, 0, 533
1303, 37579, 0, 0
0, 31991, 0, 0
1448, 0, 0, 0
1320, 0, 0, 0
1647, 20026, 2185, 575
3503, 21631, 3275, 222
1017, 0, 0, 0
0, 21461, 9872, 0
2837, 25373, 3186, 242
3870, 29487, 7992, 1155
2177, 0, 0, 0
1493, 0, 4798, 0
0, 23479, 0, 0
1819, 20838, 3699, 0
1894, 20676, 7240, 343
0, 17926, 3143, 0
682, 0, 7666, 209
1504, 14141, 3810, 559
2028, 20087, 0, 114
0, 17048, 0, 1650
1606, 16058, 0, 546
897, 13137, 0, 0
1611, 7794, 4337, 652
1260, 8959, 2311, 423
5366, 9999, 4739, 900
718, 14805, 5979, 186
2275, 12587, 0, 698
1447, 15689, 2722, 510
0, 11489, 8694, 358
1327, 16388, 4986, 312
3096, 16908, 0, 341
2946, 17188, 2560, 365
3388, 14450, 0, 186
0, 16903, 3975, 469
0, 17842, 4958, 946
1939, 12057, 3426, 436
0, 21937, 7377, 254
0, 18532, 0, 231
1884, 12190, 3269, 338
0, 25067, 3239, 286
0, 24262, 3508, 0
0, 0, 2623, 286
0, 0, 10200, 0
0, 0, 3698, 0
0, 0, 5031, 0
0, 0, 3658, 846
0, 22583, 5556, 0
0, 0, 5742, 499
0, 19856, 6341, 0
0, 33951, 0, 0
4018, 27532, 2641, 0
0, 29935, 3550, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 4385, 0
0, 24922, 0, 581
0, 30354, 4967, 0
0, 0, 4788, 0
0, 32192, 4390, 490
0, 27885, 2147, 392
1276, 32069, 3934, 838
1772, 28150, 0, 188
4848, 0, 0, 933
3542, 25060, 0, 361
0, 0, 0, 0
3161, 26481, 3411, 231
2089, 25378, 7692, 286
2210, 16783, 0, 813
0, 0, 0, 378
558, 0, 0, 885
0, 0, 0, 0
0, 0, 0, 0
1699, 0, 0, 0
1160, 0, 0, 0
1221, 24196, 0, 658
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
0, 0, 0, 0
1990, 19770, 0, 163
1344, 24721, 4356, 439
2299, 23337, 0, 0
1541, 25569, 8632, 547
0, 27922, 4035, 282
1767, 23972, 0, 0
0, 22448, 2879, 414
0, 0, 3181, 0
1953, 37164, 1906, 0
0, 0, 0, 0
0, 0, 2598, 216
0, 26900, 4015, 226
0, 0, 0, 0
2374, 0, 0, 0
0, 0, 0, 0
0, 0, 1450, 0
0, 0, 0, 0
0, 0, 0, 0
1283, 0, 3413, 0
1149, 39086, 0, 0
