rl,call4,all,mit,
0,0,0,0,
0,0,0,0,
28626,24212,24794,88270,
20157,21046,40573,105012,
10547,14562,73518,137753,
9383,21570,26334,99089,
30266,18943,46523,113052,
8990,10085,6297,43262,
9410,12463,12319,136021,
23635,11564,33924,60947,
37087,33630,29619,29546,
54368,30356,30129,45120,
23771,16504,39575,91023,
21543,15356,8137,36116,
14321,19527,23116,22662,
30436,26484,17223,77179,
14878,20493,15485,30251,
30907,17011,24165,41554,
36900,25452,27222,37906,
26205,22542,42576,50206,
33974,18340,12812,46951,
20333,12283,14545,37188,
23202,18588,17323,93545,
30251,26133,16303,49756,
34455,8611,34019,87138,
25503,17232,21288,19792,
44406,19253,13483,57316,
36996,30224,21171,52185,
26777,10023,27423,22773,
24972,14037,27993,29580,
45164,19802,23815,35337,
11116,7799,24052,27945,
20961,30227,23042,63619,
19244,12981,25975,52151,
28891,21499,11938,50463,
12127,12141,6688,27607,
34498,22122,36268,99703,
16255,18527,16920,72822,
31877,43775,40910,51223,
37252,25087,24414,45580,
42161,13963,10925,41766,
46479,58861,39139,93800,
32579,8515,17618,50283,
42319,23319,20813,29112,
16979,38449,22731,73358,
46747,13841,20994,39898,
19356,23457,25206,33748,
28890,29349,13094,65781,
14698,14139,15098,65149,
33880,26007,66903,93883,
40238,15634,13436,13937,
30687,28184,29801,35038,
25568,10840,22654,87225,
44963,28373,34795,52836,
40641,31986,29321,65653,
10894,8095,18356,31962,
20501,19058,21063,44668,
24336,23411,14439,38888,
34756,25812,20386,44752,
30269,28026,33016,37631,
28866,26233,18843,59127,
13631,12559,10591,34326,
30656,41265,17429,72722,
10418,23609,16235,40423,
18864,14368,22744,42377,
23044,38406,15836,62176,
26080,16144,16519,40562,
20260,18558,43570,55141,
20325,14989,15144,64785,
22938,10873,18835,42533,
9349,16831,30612,61411,
18155,24819,7067,31206,
29492,22747,20241,48386,
19706,14477,34512,28230,
33548,17700,7235,54890,
8844,21886,39459,64159,
18732,17311,31753,24726,
37714,18858,36776,53804,
14076,24533,15508,87062,
14834,20376,7417,18384,
36687,24164,22334,39363,
12588,16539,26785,58532,
24029,30066,32624,51311,
23344,6990,33948,55320,
17789,37856,7597,24574,
45833,24296,13691,42909,
17207,11764,9849,34570,
29810,25473,72414,47405,
35617,13471,23538,50757,
14611,9953,28364,32598,
4672,16404,26566,38010,
24633,14331,5293,51163,
45392,70944,191861,54692,
