rl,call4,all,mit,
1165,0,13106,30835,
3454,0,48629,20188,
2706,0,43979,18283,
2175,0,26720,7834,
5365,6,15722,83008,
1428,0,21926,81063,
1985,0,3395,196081,
1580,0,2520,151211,
1152,0,4865,151438,
387,0,9937,238666,
13939,0,18559,231643,
7617,0,11979,228625,
5372,0,9416,208835,
4231,0,13827,239102,
4701,0,4428,254223,
6270,0,2963,168712,
11704,0,39133,258270,
3256,0,753,286832,
14512,0,23851,228915,
6230,0,26513,165280,
22213,0,45910,269204,
2450,0,1374,162719,
93,0,1692,261342,
61,0,449,150534,
16240,0,523,292102,
655,0,507,263836,
11269,0,10187,244349,
13374,0,44617,172238,
1973,0,991,100596,
275,30,569,79724,
599,114,2132,93190,
38,0,281,84266,
42,0,185,123189,
26890,5,66327,110553,
3,0,1426,90314,
25351,0,45389,180110,
50,0,708,88375,
520,22,14472,134863,
12382,0,1957,263723,
3512,0,13958,220510,
2403,0,5030,259071,
9068,12,31969,185200,
668,43,3478,80000,
585,52,2928,87675,
322,7,1389,63154,
163,8,1129,215334,
18524,0,1278,255931,
12872,0,31449,220536,
22,0,5301,214157,
15250,0,1575,216278,
14886,0,38751,124966,
9732,0,38253,307521,
9791,0,48374,259632,
7106,0,34908,318494,
172,0,526,306231,
13814,0,1284,284122,
151,0,838,94817,
255,23,412,79491,
366,29,3915,49319,
379,24,12445,69602,
305,31,3915,62075,
298,7,6469,185497,
9,0,527,235064,
15,0,185,128175,
0,0,4415,112999,
13252,0,23368,75104,
6626,0,7999,95204,
0,0,1978,195734,
3081,0,1313,199651,
460,0,14584,203429,
15296,0,106693,104629,
3151,0,0,361606,
72,0,2245,239929,
13027,0,6003,210434,
17786,0,342,217364,
34,0,1548,212561,
34,0,241,145899,
21458,0,33308,206243,
234,0,1760,221836,
111,0,1599,174903,
7,0,1717,177782,
36,0,753,145851,
14694,0,35826,130768,
24051,0,61266,152974,
27,0,305,167722,
13268,0,50553,221412,
20,0,1507,212937,
54,0,1613,203234,
4,0,323,165912,
9473,0,1892,224416,
12697,0,30895,192974,
190,0,4907,213315,
14,0,2106,156398,
14,0,684,251694,
69,0,6515,211421,
25,0,2529,212569,
24,0,1619,188468,
6492,0,7274,156850,
11540,0,44478,163992,
5,0,204,120218,
6241,0,17862,128480,
3086,0,23972,123804,
11547,0,59407,133172,
4537,0,30664,144326,
1,0,705,180244,
4853,0,17952,148075,
7892,4,21794,139971,
38,0,1318,155095,
10401,0,34893,135311,
7,0,1176,133609,
13613,0,39423,165216,
19,0,3099,182081,
19869,0,2817,183140,
91,0,6716,276331,
43,0,1428,173100,
10,0,1698,141781,
24213,0,2523,116603,
711,0,284,180522,
21650,0,842,161759,
920,71,3875,182269,
212,0,10699,179561,
98,0,3802,260391,
15571,0,1569,232902,
215,0,3274,195123,
8921,0,915,165481,
6004,0,16573,170316,
2997,0,297,189891,
15139,16,1974,182392,
98,8,1013,160340,
260,0,1949,165041,
6347,0,550,157740,
6439,0,50244,207969,
7482,0,27201,109813,
12,0,553,141222,
6477,0,29688,174968,
114,0,2625,164903,
4823,0,27434,210593,
3892,0,29224,201933,
2478,0,20315,159927,
3721,0,22170,167913,
2585,0,8109,188660,
2671,0,6794,215844,
176,0,2090,184066,
2537,0,5051,174724,
4322,0,14224,217232,
10128,0,41396,252284,
3927,0,13116,191642,
2491,0,942,235087,
2455,0,1703,119791,
4928,0,4778,192194,
9361,0,23347,138067,
3586,0,8550,109567,
959,0,7559,108832,
914,2,8218,206626,
6861,22,17530,51083,
16175,51,24298,60770,
12688,3,69285,42568,
3767,0,49945,95011,
3949,2,12372,26694,
6890,0,1836,29232,
