X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
0,1,0.59283,0.5757953,0.19229001,0.57431,4.4594316,-0.13051708
0,1,0.58392,0.5709853,0.31482,0.57242,4.4594316,-0.11373074
0,1,0.57382,0.55617374,0.23019001,0.55942,4.4594316,-0.1328393
0,1,0.48812,0.4563231,0.2223,0.46948,4.4594316,-0.17831688
0,1,0.48325,0.4564202,0.21958998,0.45954,4.4594316,-0.16379797
0,1,0.48154,0.46499676,0.23218,0.46497,4.4594316,-0.12862048
0,1,0.48089,0.46590713,0.09838,0.46426,4.4594316,-0.12240461
0,1,0.47286,0.45713028,0.18495,0.45426,4.4594316,-0.12541819
0,1,0.46898,0.45662427,0.22516002,0.45159,4.4594316,0.111156456
0,1,0.46519,0.4546178,0.24607,0.4394,4.4594316,-0.102821186
0,1,0.46098,0.46023506,0.36755002,0.43627,4.4594316,0.027293593
0,1,0.46058,0.43135408,0.12103999,0.44541,4.4594316,-0.17095585
0,1,0.45762,0.44958076,0.20615,0.4364,4.4594316,-0.089661844
0,1,0.45574,0.4510713,0.30754,0.43543,4.4594316,-0.06832805
0,1,0.45567,0.4399281,0.088670015,0.44859,4.4594316,0.1254667
0,1,0.45517,0.42506212,0.09408,0.43806,4.4594316,-0.17351627
0,1,0.4546,0.44672126,0.24649,0.43462,4.4594316,-0.088762306
0,1,0.44923,0.44717163,0.33361998,0.42574,4.4594316,-0.04536907
0,1,0.44913,0.42220718,0.12773001,0.43444,4.4594316,-0.1640818
0,1,0.4458,0.43665212,0.23752001,0.42579,4.4594316,-0.09564462
0,1,0.44498,0.43172902,0.25554,0.42435,4.4594316,0.11511289
0,1,0.44387,0.4417407,0.097689986,0.44387,3.807355,0.046144586
0,1,0.44001,0.42849228,0.19241,0.42767,4.4594316,-0.1073207
1,1,0.43884,0.4097555,0.103159994,0.41992,4.4594316,-0.17054181
0,1,0.43597,0.42403516,0.1825,0.41544,4.4594316,0.10924667
0,1,0.43165,0.43033242,0.33118,0.41091,4.4594316,0.03629862
0,1,0.43083,0.4306987,0.30334002,0.38574,4.4594316,0.011459304
0,1,0.42599,0.42564735,0.2647,0.40538,4.4594316,0.018510673
0,1,0.42597,0.40173516,0.122939974,0.40905,4.4594316,-0.15567543
0,0,0.42085,0.4160518,0.055729985,0.42084,4.4594316,0.06926897
0,1,0.41818,0.40109858,0.18936,0.40183,4.4594316,-0.13069588
