mit,all,call4,rl,mit_mimic
101175,4374,2,575,101175
146710,9082,6,593,146710
104087,7921,3,1195,104087
50119,11045,13,1580,0
190130,3507,11,902,190130
91466,9671,11,1179,91466
152506,11719,8,2838,152506
107740,12636,29,1688,107740
130703,3745,19,532,130703
131840,2918,15,598,131840
121787,4475,15,657,121787
170713,8011,20,801,170713
149747,6354,19,1107,149747
237825,6702,7,1195,237825
230459,7700,24,1118,230459
194235,6891,5,964,194235
111139,6674,15,1000,111139
114039,8279,31,1328,0
107514,6672,30,802,107514
30335,6842,16,618,30335
52069,4071,29,1210,52069
65297,9023,21,1178,65297
95168,5387,11,989,95168
132207,9815,4,1725,132207
215190,9072,1,1437,215190
250249,6639,2,1250,250249
168644,6567,4,683,168644
142625,4199,2,212,142625
205563,3300,3,634,205563
217988,5250,2,728,217988
225674,5318,1,959,225674
174763,9150,0,1364,174763
133159,7306,0,793,133159
215425,7184,1,1547,215425
336626,3715,1,656,336626
235815,5019,2,665,235815
222763,4162,1,680,222763
250732,4420,1,535,0
197619,5653,1,415,197619
266109,4318,1,604,266109
200983,6917,0,1542,200983
210316,8622,0,1003,210316
179280,6068,0,850,179280
312572,5195,0,183,312572
257691,3790,0,359,257691
214781,3130,0,264,214781
202663,6303,0,595,202663
170086,3472,0,559,170086
76631,2165,1,411,76631
63363,1563,1,151,63363
35666,1980,6,469,35666
62618,1279,6,264,62618
24883,1216,5,170,24883
37232,1555,5,270,37232
30554,3108,5,471,30554
48326,1049,0,414,48326
100722,1189,0,267,100722
49332,1979,0,371,49332
96156,2201,0,345,96156
127560,779,0,321,127560
147197,1631,1,308,147197
162293,1690,1,355,0
99243,1625,1,256,99243
203798,980,1,121,203798
154712,813,0,43,154712
142443,1251,0,61,142443
275196,1179,0,82,275196
158046,2409,0,159,158046
248883,709,1,95,248883
257090,587,1,40,257090
226711,968,1,37,226711
193900,570,1,25,193900
276085,1114,0,111,276085
284496,1984,0,124,284496
268572,1044,1,81,268572
176491,1147,1,59,176491
145499,3020,1,257,145499
115437,936,3,17,115437
244911,3091,2,787,244911
313957,2425,18,351,313957
250918,925,16,157,250918
238750,1257,15,111,238750
286767,964,15,207,286767
327187,887,18,172,327187
191158,2691,16,543,191158
103042,2520,0,723,103042
76497,3409,0,639,76497
74669,1977,0,570,74669
110694,1728,5,572,0
154543,1679,13,685,154543
60258,1158,9,561,60258
85663,4948,17,701,85663
156682,2142,17,671,156682
103247,1706,13,835,103247
73161,1863,9,814,73161
240611,3703,5,971,240611
171878,2390,0,384,171878
281602,887,0,233,281602
238398,1258,0,133,238398
301188,749,5,217,301188
301026,1210,5,171,301026
220079,1499,5,255,220079
273964,1192,5,203,273964
268306,1215,5,218,268306
239987,1539,1,178,239987
247599,1148,1,116,247599
280705,953,1,97,280705
251116,1852,1,299,251116
306034,1334,1,129,306034
299096,2072,1,388,299096
315517,1996,1,99,315517
213998,2730,1,503,213998
269116,2855,1,232,0
284644,1144,1,304,284644
291980,1215,1,433,291980
238192,1040,1,221,238192
180042,2656,0,442,180042
212093,2382,5,362,212093
221925,1811,5,247,221925
330597,1304,5,160,330597
169323,2882,5,458,169323
196793,2767,5,665,196793
100545,1245,1,129,100545
51342,1974,2,291,51342
87376,2156,7,196,87376
112086,1388,10,274,112086
165361,3734,11,722,165361
177953,2231,9,391,177953
168675,2370,9,324,168675
160519,2037,5,766,160519
73887,2380,0,451,73887
225496,2322,5,706,225496
113886,756,5,192,113886
234206,1249,5,470,234206
203709,1104,5,154,0
184097,1265,5,327,184097
138540,1271,0,595,138540
126227,2032,1,447,126227
104223,2658,1,547,104223
70676,948,1,417,70676
35845,1570,1,459,35845
64483,1440,0,435,64483
77761,1429,5,527,77761
142171,1354,5,436,142171
149286,1634,5,463,149286
111030,856,5,176,111030
66323,2358,6,513,66323
82590,876,1,162,82590
62443,821,1,157,62443
59143,1135,1,282,59143
241301,917,0,151,241301
181437,1244,0,163,181437
186741,901,0,110,186741
129864,702,0,128,129864
178067,365,0,54,178067
101938,823,1,56,101938
121820,761,2,154,0
107835,582,2,41,107835
193161,744,2,78,193161
167091,1268,1,121,167091
97502,1245,2,322,97502
132562,1269,1,137,132562
114213,1460,4,262,114213
123811,1119,2,228,123811
81714,472,3,164,81714
89187,886,3,165,89187
114448,780,1,181,114448
166802,746,0,172,166802
125338,1153,0,267,125338
161953,957,0,80,161953
95464,920,0,146,95464
25831,698,0,64,25831
39965,421,0,74,39965
94870,706,7,83,94870
46892,1295,127,292,46892
34004,896,148,391,34004
70683,646,4,181,70683
94100,642,0,139,94100
40049,185,0,35,40049
13956,407,0,45,13956
0,272,0,1,0
16984,517,0,90,16984
599599,36414,167,10619,599599
1983,1002,0,42,1983
103926,1040,1,242,103926
60442,932,2,127,60442
11875,443,2,94,11875
13513,1054,1,238,13513
29445,530,2,110,29445
56094,687,2,119,56094
46779,449,0,186,46779
52797,1154,0,251,52797
69822,505,0,178,69822
60967,1768,0,251,60967
119929,1515,15,247,119929
50909,1353,0,215,50909
78405,1054,0,260,78405
127055,1213,0,180,127055
161158,1465,0,195,161158
172909,956,0,149,172909
179824,840,0,149,0
179377,370,0,155,179377
157094,1420,0,145,157094
164216,1222,0,297,164216
140431,2571,0,450,140431
132206,2336,0,459,132206
92992,1541,162,344,92992
213886,1268,1,141,213886
145128,995,0,70,145128
102987,2017,131,441,102987
261863,1325,47,403,261863
72771,1219,117,539,72771
121065,4139,0,730,121065
25430,1273,157,470,25430
23330,1556,45,343,23330
50666,1773,157,520,50666
38008,1635,145,551,38008
38924,912,94,225,38924
50390,1204,21,143,50390
52898,1147,174,398,52898
96318,729,0,59,96318
53164,2494,0,321,53164
77748,1011,0,173,77748
180593,724,0,266,180593
167396,667,1,282,167396
195459,494,1,78,195459
238586,401,1,106,0
197772,592,1,111,197772
133044,581,1,141,133044
157578,681,0,180,157578
226588,1402,0,226,226588
201653,913,0,233,201653
197598,2399,1,531,197598
77047,1947,1,417,77047
91869,923,1,147,91869
93310,1956,1,254,93310
87564,2825,1,624,87564
125187,1722,0,367,125187
108918,783,0,111,108918
194201,1793,0,196,194201
203925,1058,0,99,203925
153254,482,0,71,153254
191562,578,0,45,191562
140263,911,0,152,140263
155189,868,0,32,155189
148371,528,0,30,148371
164918,534,0,71,0
185728,668,0,73,185728
137206,1931,0,384,137206
93206,1914,0,245,93206
65554,1144,0,222,65554
124871,2275,0,718,124871
146032,949,0,268,146032
161933,968,0,258,161933
127162,1509,0,468,127162
80473,831,0,303,80473
118952,1200,0,453,118952
98021,758,0,368,98021
4532,1091,0,368,4532
65121,11154,0,6990,65121
261787,639,0,99,261787
209229,513,0,256,209229
310537,967,0,124,310537
241296,957,0,293,241296
212132,531,0,155,212132
157676,139,0,4,157676
217444,182,0,1,217444
231299,948,1,37,231299
370366,276,1,4,370366
451685,208,1,0,451685
338207,346,1,3,338207
322020,435,0,10,322020
321732,647,6,13,0
331690,244,0,1,331690
308451,764,6,9,308451
345772,360,5,20,345772
315703,381,6,8,315703
246503,563,6,10,246503
297424,406,6,10,297424
410003,681,1,20,410003
444738,649,0,12,444738
378605,619,9,27,378605
367557,469,9,56,367557
401905,672,9,63,401905
567247,340,5,59,567247
426704,257,9,54,426704
