rl,call4,all,mit,
30,5,50,138,
30,6,55,141,
32,6,51,112,
40,10,61,96,
23,9,46,112,
36,11,55,111,
49,7,70,133,
36,16,57,122,
19,8,43,120,
16,6,40,129,
19,6,62,111,
26,10,54,136,
29,8,45,129,
28,9,49,137,
28,11,51,139,
29,6,52,134,
29,9,50,118,
41,11,63,111,
30,11,58,114,
28,7,59,101,
41,10,54,110,
47,9,72,124,
28,10,52,128,
38,10,55,137,
39,6,60,127,
33,7,53,138,
28,10,55,133,
20,7,50,145,
26,7,47,140,
26,7,50,147,
27,7,54,134,
38,8,60,131,
29,5,57,121,
37,10,57,138,
24,9,53,146,
27,9,53,146,
24,7,46,146,
19,8,60,145,
29,5,57,156,
28,7,55,144,
40,7,64,158,
44,6,75,143,
30,6,61,142,
19,4,59,149,
24,8,57,141,
21,4,54,140,
28,4,62,138,
34,6,58,159,
23,5,49,115,
18,5,49,135,
36,9,48,102,
26,8,47,117,
24,7,48,103,
33,5,48,104,
32,11,59,100,
25,4,47,111,
23,5,49,146,
26,6,48,121,
29,6,56,136,
28,4,48,142,
22,7,50,137,
26,7,55,158,
24,7,51,128,
23,6,53,145,
16,7,39,141,
18,6,45,139,
28,6,54,152,
28,5,58,131,
20,7,49,142,
23,5,44,141,
15,4,62,147,
15,7,53,135,
20,3,48,141,
28,6,65,144,
25,10,47,141,
18,6,59,128,
30,6,57,132,
16,9,43,134,
36,6,59,159,
35,9,62,154,
22,8,62,156,
22,7,50,146,
21,6,54,149,
17,10,47,147,
31,10,59,153,
32,7,55,122,
35,8,67,129,
23,6,57,114,
24,7,46,140,
29,9,49,142,
32,7,55,135,
39,11,82,129,
26,8,59,141,
30,9,56,133,
38,8,56,128,
44,12,80,143,
29,4,58,153,
29,6,53,151,
21,4,56,165,
19,7,43,156,
21,6,45,149,
23,7,44,137,
19,7,41,160,
23,6,51,143,
19,7,51,159,
17,6,39,148,
18,6,36,157,
28,7,59,161,
25,6,65,155,
34,5,56,148,
21,7,55,154,
30,7,62,155,
22,5,57,154,
20,4,39,178,
18,5,42,163,
17,7,47,143,
20,5,48,151,
17,7,59,148,
24,5,58,148,
18,6,42,151,
25,11,53,143,
32,8,49,156,
14,8,38,125,
22,6,50,109,
18,9,38,126,
23,8,48,150,
37,9,61,165,
26,7,58,154,
24,8,53,136,
34,10,55,133,
24,8,47,136,
32,10,54,157,
14,5,25,138,
19,6,27,142,
21,5,48,149,
27,7,53,161,
30,6,40,140,
24,7,48,133,
26,7,57,145,
23,5,39,133,
31,9,53,114,
27,4,49,130,
31,7,56,141,
28,5,49,140,
31,6,55,145,
22,5,45,148,
40,11,63,140,
17,4,36,136,
25,8,49,131,
40,10,62,137,
22,5,63,163,
23,7,53,150,
25,3,51,156,
17,6,38,140,
18,8,51,149,
14,6,45,135,
18,6,39,146,
13,6,36,128,
18,9,47,162,
20,9,52,134,
20,7,46,140,
17,9,49,132,
19,10,40,138,
17,5,42,134,
15,7,34,131,
17,7,45,132,
18,6,41,133,
16,6,43,136,
26,7,46,129,
22,4,58,148,
27,5,52,131,
24,7,55,105,
22,6,42,134,
20,9,41,108,
22,17,34,91,
24,14,25,103,
31,8,45,116,
25,6,53,133,
10,2,19,111,
10,4,26,68,
8,4,45,7,
22,4,41,78,
243,224,227,260,
42,0,83,46,
33,6,52,154,
22,8,38,133,
23,5,33,94,
29,5,60,98,
14,7,26,116,
18,10,36,138,
21,6,37,133,
25,4,44,130,
20,4,34,158,
23,4,48,137,
27,9,38,159,
26,3,49,128,
34,6,53,146,
26,6,54,155,
21,6,44,167,
24,6,49,144,
14,7,44,154,
18,5,31,149,
19,3,51,135,
21,8,43,146,
32,3,56,151,
36,4,58,151,
22,15,44,130,
19,12,53,169,
20,3,55,142,
23,13,46,124,
31,14,46,170,
28,13,38,110,
37,6,62,144,
20,13,31,79,
18,9,29,96,
21,12,31,93,
22,13,26,80,
19,11,28,94,
23,10,36,93,
23,17,32,95,
28,3,55,142,
54,4,106,124,
37,2,60,139,
24,4,45,145,
24,8,48,134,
16,6,50,145,
17,5,39,160,
15,8,32,149,
16,7,47,144,
21,6,39,142,
26,7,54,147,
27,5,48,143,
33,9,54,154,
31,6,48,136,
31,8,54,137,
37,7,59,145,
47,6,70,123,
30,9,46,157,
20,4,47,135,
22,5,44,152,
20,4,47,140,
17,4,43,150,
20,8,38,147,
22,8,45,145,
15,5,41,133,
22,6,48,128,
16,7,32,133,
23,7,49,123,
30,6,50,132,
35,6,56,146,
28,3,66,139,
43,7,64,135,
21,5,48,159,
22,5,47,149,
32,6,58,124,
22,8,38,104,
33,5,43,137,
25,6,44,117,
41,3,65,55,
253,4,198,109,
21,6,51,150,
19,5,43,147,
20,7,55,153,
29,4,60,157,
